id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
7503,1980,福島県 石川郡 平田村,4499,1063,NA
7504,1980,福島県 石川郡 浅川町,3877,941,NA
7505,1980,福島県 石川郡 古殿町,3967,855,NA
7521,1980,福島県 田村郡 三春町,9775,2421,NA
7522,1980,福島県 田村郡 小野町,7322,1713,NA
7541,1980,福島県 双葉郡 広野町,2684,722,NA
7542,1980,福島県 双葉郡 楢葉町,4233,1012,NA
7543,1980,福島県 双葉郡 富岡町,7219,2094,NA
7544,1980,福島県 双葉郡 川内村,2064,388,NA
7545,1980,福島県 双葉郡 大熊町,4411,1256,NA
7546,1980,福島県 双葉郡 双葉町,3929,1028,NA
7547,1980,福島県 双葉郡 浪江町,11660,3013,NA
7548,1980,福島県 双葉郡 葛尾村,991,202,NA
7561,1980,福島県 相馬郡 新地町,4429,1083,NA
7564,1980,福島県 相馬郡 飯舘村,4096,933,NA
8201,1980,茨城県 水戸市,122674,40319,NA
8202,1980,茨城県 日立市,107184,33974,NA
8203,1980,茨城県 土浦市,61188,19248,NA
8204,1980,茨城県 古河市,58588,18782,NA
8205,1980,茨城県 石岡市,38773,11031,NA
8207,1980,茨城県 結城市,25040,7575,NA
8208,1980,茨城県 龍ケ崎市,21529,6508,NA
8210,1980,茨城県 下妻市,19998,5517,NA
8211,1980,茨城県 常総市,30796,8710,NA
8212,1980,茨城県 常陸太田市,30772,7221,NA
8214,1980,茨城県 高萩市,16504,4898,NA
8215,1980,茨城県 北茨城市,24361,6741,NA
8216,1980,茨城県 笠間市,37249,10582,NA
8217,1980,茨城県 取手市,49065,17290,NA
8219,1980,茨城県 牛久市,20081,6703,NA
8220,1980,茨城県 つくば市,61165,19638,NA
8221,1980,茨城県 ひたちなか市,62732,20852,NA
8222,1980,茨城県 鹿嶋市,24610,8674,NA
8223,1980,茨城県 潮来市,14847,4280,NA
8224,1980,茨城県 守谷市,8705,2748,NA
8225,1980,茨城県 常陸大宮市,25855,5885,NA
8226,1980,茨城県 那珂市,22884,6286,NA
8227,1980,茨城県 筑西市,56219,16529,NA
8228,1980,茨城県 坂東市,27564,8182,NA
8229,1980,茨城県 稲敷市,22070,5762,NA
8230,1980,茨城県 かすみがうら市,19238,5979,NA
8231,1980,茨城県 桜川市,26090,6944,NA
8232,1980,茨城県 神栖市,32975,11110,NA
8233,1980,茨城県 行方市,21547,5457,NA
8234,1980,茨城県 鉾田市,24197,6532,NA
8235,1980,茨城県 つくばみらい市,16550,5052,NA
8236,1980,茨城県 小美玉市,21806,6377,NA
8302,1980,茨城県 東茨城郡 茨城町,16558,4676,NA
8309,1980,茨城県 東茨城郡 大洗町,11008,2991,NA
8310,1980,茨城県 東茨城郡 城里町,10467,2458,NA
8341,1980,茨城県 那珂郡 東海村,14240,4658,NA
8364,1980,茨城県 久慈郡 大子町,15138,3207,NA
8442,1980,茨城県 稲敷郡 美浦村,6621,1957,NA
